--- Starting Epoch 3 on cuda---
Epoch 6 | Batch 1100/2954 | Loss: 0.3233
Epoch 6 | Batch 1200/2954 | Loss: 0.2785
Epoch 6 | Batch 1300/2954 | Loss: 0.3165
Epoch 6 | Batch 1400/2954 | Loss: 0.3032
Epoch 6 | Batch 1500/2954 | Loss: 0.2979
Epoch 6 | Batch 1600/2954 | Loss: 0.3267
Epoch 6 | Batch 1700/2954 | Loss: 0.2988
Epoch 6 | Batch 1800/2954 | Loss: 0.2917
Epoch 6 | Batch 1900/2954 | Loss: 0.2984
Epoch 6 | Batch 2000/2954 | Loss: 0.2840
Epoch 6 | Batch 2100/2954 | Loss: 0.2891
Epoch 6 | Batch 2200/2954 | Loss: 0.2544
Epoch 6 | Batch 2300/2954 | Loss: 0.2997
Epoch 6 | Batch 2400/2954 | Loss: 0.2877
Epoch 6 | Batch 2500/2954 | Loss: 0.3119
Epoch 6 | Batch 2600/2954 | Loss: 0.2739
Epoch 6 | Batch 2700/2954 | Loss: 0.2793
Epoch 6 | Batch 2800/2954 | Loss: 0.2823
Epoch 6 | Batch 2900/2954 | Loss: 0.3505
Running Validation for Epoch 6...

Epoch 6 Summary | Train Loss: 0.2948 | Val Loss: 0.3708
Saved: uncropped_model_epoch_6.pth
